0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:19 -0300] "GET /Loja/index.jsp/PromocaoController?operacao=1 HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:21 -0300] "GET /Loja/index.jsp/PromocaoController?operacao=2&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:21 -0300] "GET /Loja/index.jsp/resultadoPromocao.jsp?operacao=1 HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:22 -0300] "GET /Loja/index.jsp/PromocaoController?operacao=1 HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:23 -0300] "GET /Loja/index.jsp/telausuario.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:55 -0300] "GET /Loja/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:55 -0300] "GET /Loja/index.jsp/ HTTP/1.1" 200 12709
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:55 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:57 -0300] "GET /Loja/index.jsp/checkout.jsp HTTP/1.1" 200 10704
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:57 -0300] "GET /Loja/assets/js/color-modes.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:57 -0300] "GET /Loja/assets/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:57 -0300] "GET /Loja/index.jsp/checkout.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:57 -0300] "GET /Loja/assets/dist/css/bootstrap.min.css HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:57 -0300] "GET /Loja/index.jsp/src/checkout.js HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:59 -0300] "POST /Loja/index.jsp/CarrinhoController?operacao=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:02:59 -0300] "GET /Loja/index.jsp/index.jsp HTTP/1.1" 200 12709
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:07 -0300] "GET /Loja/index.jsp/login.jsp HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:07 -0300] "GET /Loja/assets/js/color-modes.js HTTP/1.1" 404 804
